Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;Nome Empregador;Logradouro Local Fiscalizado;;;Município Local Fiscalizado;UF Local Fiscalizado
2008;2008/10;83.646.984/0014-24;A ANGELONI & CIA LTDA;ESTEVES JUNIOR,_307;88085-001;CENTRO;Florianópolis;Santa Catarina
2008;2008/08;83.646.984/0014-24;A ANGELONI & CIA LTDA;ESTEVES JUNIOR,_307;88085-001;CENTRO;Florianópolis;Santa Catarina
2008;2008/08;83.646.984/0014-24;A ANGELONI & CIA LTDA;ESTEVES JUNIOR__307;88085-001;CENTRO;Florianópolis;Santa Catarina
2008;2008/07;83.646.984/0014-24;A ANGELONI & CIA LTDA;ESTEVES JUNIOR__307;88085-001;CENTRO;Florianópolis;Santa Catarina
2008;2008/09;83.646.984/0022-34;A ANGELONI & CIA LTDA;RUA BARãO DO RIO BRANCO, 732;89251-400;CENTRO;Jaraguá do Sul;Santa Catarina
2008;2008/09;83.646.984/0067-36;A ANGELONI & CIA LTDA;RUA BERNARDO GRUBBA, 247;89251-090;CENTRO;Jaraguá do Sul;Santa Catarina
2008;2008/06;83.646.984/0002-90;A ANGELONI & CIA LTDA;RUA FELIPE SCHIMIDT, 26;88800-000;CENTRO;Criciúma;Santa Catarina
2008;2008/09;83.646.984/0002-90;A ANGELONI & CIA LTDA;RUA FELIPE SCHMITZ,26;88811-000;CENTRO;Criciúma;Santa Catarina
2008;2008/09;83.646.984/0034-78;A ANGELONI & CIA LTDA;RUA MINISTRO CALOGERAS,1440;89201-500;ATIRADORES;Joinville;Santa Catarina
2008;2008/09;83.646.984/0034-78;A ANGELONI & CIA LTDA;RUA MINISTRO CALOGERAS,1440;89201-500;ATIRADORES;Joinville;Santa Catarina
2008;2008/10;83.646.984/0035-59;A ANGELONI & CIA LTDA;RUA NIRBERTO HASSE, 75, LOJA 18;88035-215;SANTA MONICA;Florianópolis;Santa Catarina
2009;2009/07;83.646.984/0031-25;A ANGELONI CIA LTDA;AV EXP JOSE PEDRO COELHO, 1120, SALA 01;88704-200;CENTRO;Tubarão;Santa Catarina
2009;2009/07;83.646.984/0008-86;A ANGELONI CIA LTDA;AV EXP JOSE PEDRO COELHO, 1120, TéRREO;88704-201;CENTRO;Tubarão;Santa Catarina
2012;2012/05;83.646.984/0018-58;A ANGELONI CIA LTDA;AV. GOV. IRINEU BORNHAUSEN, 5288;88025-202;AGRONOMICA;Florianópolis;Santa Catarina
2011;2011/09;83.646.984/0049-54;A ANGELONI CIA LTDA;JOãO COLIN, 2500;89204-002;AMéRICA;Joinville;Santa Catarina
2008;2008/09;83.646.984/0018-58;A ANGELONI CIA LTDA.;AV GOV IRINEU BORNHAUSEN, 5288;88000-000;CENTRO;Florianópolis;Santa Catarina
2008;2008/10;83.646.984/0018-58;A ANGELONI CIA LTDA.;AV GOV IRINEU BORNHAUSEN, 5288;88000-000;CENTRO;Florianópolis;Santa Catarina
2008;2008/10;83.646.984/0020-72;A ANGELONI CIA LTDA.;AV. MARINHEIRO MAX SCHRAMM, 3450;88095-000;BALNEARIO ESTREIRO;Florianópolis;Santa Catarina
2008;2008/09;83.646.984/0020-72;A ANGELONI CIA LTDA.;AV. MARINHEIRO MAX SCHRAMM, 3450;88095-000;BALNEARIO ESTREIRO;Florianópolis;Santa Catarina
2008;2008/10;83.646.984/0014-24;A ANGELONI CIA LTDA.;RUA ESTEVES JUNIOR, 370;88015-130;CENTRO;Florianópolis;Santa Catarina
2008;2008/11;83.646.984/0072-01;A ANGELONI E CIA;RUA MINISTRO CALóGERAS, 1639;89202-005;ANIOTA GARIBALDI;Joinville;Santa Catarina
2008;2008/09;83.646.984/0022-34;A ANGELONI E CIA LTDA;AV BARAO DO RIO BRANCO 732;89250-000;CENTRO;Jaraguá do Sul;Santa Catarina
2009;2009/05;83.646.984/0001-00;A ANGELONI E CIA LTDA;AV CENTENARIO, 2699;88800-000;CENTRO;Criciúma;Santa Catarina
2011;2011/04;83.646.984/0018-58;A ANGELONI E CIA LTDA;AV GOV IRINEU BORNHAUSEN,5288;88025-202;AGRONOMICA;Florianópolis;Santa Catarina
2009;2009/08;83.646.984/0018-58;A ANGELONI E CIA LTDA;AV GOV IRINEU BORNHAUSEN,5288;88025-202;AGRONOMICA;Florianópolis;Santa Catarina
2009;2009/08;83.646.984/0018-58;A ANGELONI E CIA LTDA;AV GOV IRINEU BORNHAUSEN,5288;88025-202;AGRONOMICA;Florianópolis;Santa Catarina
2010;2010/02;83.646.984/0018-58;A ANGELONI E CIA LTDA;AV GOV IRINEU BORNHAUSEN,5288;88025-202;AGRONOMICA;Florianópolis;Santa Catarina
2011;2011/07;83.646.984/0018-58;A ANGELONI E CIA LTDA;AV GOV IRINEU BORNHAUSEN,5288;88025-202;AGRONOMICA;Florianópolis;Santa Catarina
2008;2008/09;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina
2008;2008/08;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina
2009;2009/09;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina
2009;2009/09;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina
2009;2009/07;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina
2008;2008/10;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina
2008;2008/10;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina
2010;2010/12;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina
2010;2010/03;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina
2009;2009/09;83.646.984/0020-72;A ANGELONI E CIA LTDA;AV MARINHEIRO MAX SCHRAMM, 3450;88095-000;JARDIM ATLANTICO;Florianópolis;Santa Catarina
2009;2009/09;83.646.984/0020-72;A ANGELONI E CIA LTDA;AV MARINHEIRO MAX SCHRAMM, 3450;88095-000;JARDIM ATLANTICO;Florianópolis;Santa Catarina
2008;2008/10;83.646.984/0020-72;A ANGELONI E CIA LTDA;AV MARINHEIRO MAX SCHRAMM, 3450;88095-000;JARDIM ATLANTICO;Florianópolis;Santa Catarina
2010;2010/04;83.646.984/0077-08;A ANGELONI E CIA LTDA;AV. CENTENARIO, 2999;88801-000;CENTRO;Criciúma;Santa Catarina
2009;2009/05;83.646.984/0001-00;A ANGELONI E CIA LTDA;AV. DO CENTENARIO , 2699;88800-000;CENTRO;Criciúma;Santa Catarina
2008;2008/09;83.646.984/0001-00;A ANGELONI E CIA LTDA;AV. DO CENTENARIO , 7521, SALA 01;88815-900;N. SRA. DA SALETE;Criciúma;Santa Catarina
2008;2008/10;83.646.984/0018-58;A ANGELONI E CIA LTDA;AV. GOV. IRINEU BORNHAUSEN, 5288;88025-202;AGRONôMICA;Florianópolis;Santa Catarina
2011;2011/03;83.646.984/0078-99;A ANGELONI E CIA LTDA;AV. IVO SILVEIRA, 3664;88085-000;CAPOEIRAS;Florianópolis;Santa Catarina
2012;2012/05;83.646.984/0078-99;A ANGELONI E CIA LTDA;AV. IVO SILVEIRA, 3664;88085-000;CAPOEIRAS;Florianópolis;Santa Catarina
2008;2008/09;83.646.984/0030-44;A ANGELONI E CIA LTDA;AVENIDA DO ESTADO,2440;88338-063;BAIRRO DAS NACOES;Balneário Camboriú;Santa Catarina
2009;2009/09;83.646.984/0030-44;A ANGELONI E CIA LTDA;AVENIDA DO ESTADO,2440;88338-063;BAIRRO DAS NACOES;Balneário Camboriú;Santa Catarina
2008;2008/12;83.646.984/0030-44;A ANGELONI E CIA LTDA;AVENIDA DO ESTADO,2440;88338-063;BAIRRO DAS NACOES;Balneário Camboriú;Santa Catarina
2008;2008/09;83.646.984/0009-67;A ANGELONI E CIA LTDA;CENTENARIO,2699;88813-530;CENTRO;Criciúma;Santa Catarina
2010;2010/08;83.646.984/0009-67;A ANGELONI E CIA LTDA;CENTENARIO,2699;88804-000;CENTRO;Criciúma;Santa Catarina
2009;2009/09;83.646.984/0014-24;A ANGELONI E CIA LTDA;ESTEVES JUNIOR,307;88015-530;CENTRO;Florianópolis;Santa Catarina
2010;2010/04;83.646.984/0014-24;A ANGELONI E CIA LTDA;ESTEVES JUNIOR,307;88015-530;CENTRO;Florianópolis;Santa Catarina
2011;2011/12;83.646.984/0014-24;A ANGELONI E CIA LTDA;ESTEVES JUNIOR,307;88015-530;CENTRO;Florianópolis;Santa Catarina
2011;2011/11;83.646.984/0014-24;A ANGELONI E CIA LTDA;ESTEVES JUNIOR,307;88015-530;CENTRO;Florianópolis;Santa Catarina
2009;2009/09;83.646.984/0014-24;A ANGELONI E CIA LTDA;ESTEVES JUNIOR,307;88015-530;CENTRO;Florianópolis;Santa Catarina
2008;2008/09;83.646.984/0008-86;A ANGELONI E CIA LTDA;EXP JOSE P COELHO,1120;88704-200;CENTRO;Tubarão;Santa Catarina
2008;2008/09;83.646.984/0002-90;A ANGELONI E CIA LTDA;FELIPE SCHIMIDT,26;88813-530;CENTRO;Criciúma;Santa Catarina
2009;2009/10;83.646.984/0015-05;A ANGELONI E CIA LTDA;FREI ROGERIO,587;88502-161;CENTRO;Lages;Santa Catarina
2008;2008/09;83.646.984/0015-05;A ANGELONI E CIA LTDA;FREI ROGERIO,587;88502-161;CENTRO;Lages;Santa Catarina
2008;2008/11;83.646.984/0015-05;A ANGELONI E CIA LTDA;FREI ROGERIO,587;88502-161;CENTRO;Lages;Santa Catarina
2008;2008/08;83.646.984/0015-05;A ANGELONI E CIA LTDA;FREI ROGERIO,587;88502-161;CENTRO;Lages;Santa Catarina
2009;2009/01;83.646.984/0019-39;A ANGELONI E CIA LTDA;HUMBERTO CAMPOS,77;89036-050;DA VELHA;Blumenau;Santa Catarina
2008;2008/09;83.646.984/0019-39;A ANGELONI E CIA LTDA;HUMBERTO CAMPOS,77;89036-050;DA VELHA;Blumenau;Santa Catarina
2010;2010/04;83.646.984/0019-39;A ANGELONI E CIA LTDA;HUMBERTO CAMPOS,77;89036-050;DA VELHA;Blumenau;Santa Catarina
2009;2009/08;83.646.984/0019-39;A ANGELONI E CIA LTDA;HUMBERTO CAMPOS,77;89036-050;DA VELHA;Blumenau;Santa Catarina
2011;2011/03;83.646.984/0019-39;A ANGELONI E CIA LTDA;HUMBERTO CAMPOS,77;89036-050;DA VELHA;Blumenau;Santa Catarina
2012;2012/01;83.646.984/0034-78;A ANGELONI E CIA LTDA;QUARTA AVENIDA, Nº 880;88330-110;CENTRO;Balneário Camboriú;Santa Catarina
2008;2008/12;83.646.984/0072-01;A ANGELONI E CIA LTDA;R. MIN. CALOGERAS, 1639 - OBRA SUPERMERCADO;89200-000;ANITA GARIBALDI;Joinville;Santa Catarina
2008;2008/07;83.646.984/0072-01;A ANGELONI E CIA LTDA;R. MIN. CALOGERAS, 1639 - OBRA SUPERMERCADO;89200-000;ANITA GARIBALDI;Joinville;Santa Catarina
2009;2009/09;83.646.984/0074-65;A ANGELONI E CIA LTDA;ROD SC 403 6375;88058-001;INGLESES;Florianópolis;Santa Catarina
2011;2011/12;83.646.984/0007-03;A ANGELONI E CIA LTDA;RUA 13 DE MAIO, 12;88790-000;CENTRO;Laguna;Santa Catarina
2011;2011/04;83.646.984/0022-34;A ANGELONI E CIA LTDA;RUA BARAO DO RIO BRANCO 732;89251-400;CENTRO;Jaraguá do Sul;Santa Catarina
2009;2009/10;83.646.984/0037-10;A ANGELONI E CIA LTDA;RUA BRUSQUE,358;88303-000;CENTRO;Itajaí;Santa Catarina
2008;2008/09;83.646.984/0037-10;A ANGELONI E CIA LTDA;RUA BRUSQUE,358;88303-000;CENTRO;Itajaí;Santa Catarina
2010;2010/03;83.646.984/0037-10;A ANGELONI E CIA LTDA;RUA BRUSQUE,358;88303-000;CENTRO;Itajaí;Santa Catarina
2008;2008/09;83.646.984/0036-30;A ANGELONI E CIA LTDA;RUA BRUSQUE,358;88303-000;CENTRO;Itajaí;Santa Catarina
2008;2008/09;83.646.984/0067-36;A ANGELONI E CIA LTDA;RUA CEL BERNARDO GRUBBA 247;89251-090;CENTRO;Jaraguá do Sul;Santa Catarina
2008;2008/11;83.646.984/0050-98;A ANGELONI E CIA LTDA;RUA DR JOAO COLIN,2500;89204-002;AMERICA;Joinville;Santa Catarina
2008;2008/08;83.646.984/0050-98;A ANGELONI E CIA LTDA;RUA DR JOAO COLIN,2500;89204-002;AMERICA;Joinville;Santa Catarina
2010;2010/05;83.646.984/0040-16;A ANGELONI E CIA LTDA;RUA LAURO LINHARES,996;88036-000;TRINDADE;Florianópolis;Santa Catarina
2008;2008/09;83.646.984/0035-59;A ANGELONI E CIA LTDA;RUA NIRBERTO HAASE,75;88035-215;SANTA MONICA;Florianópolis;Santa Catarina
2008;2008/08;83.646.984/0035-59;A ANGELONI E CIA LTDA;RUA NIRBERTO HAASE,75;88035-215;SANTA MONICA;Florianópolis;Santa Catarina
2009;2009/09;83.646.984/0035-59;A ANGELONI E CIA LTDA;RUA NIRBERTO HAASE,75;88035-215;SANTA MONICA;Florianópolis;Santa Catarina
2009;2009/08;83.646.984/0035-59;A ANGELONI E CIA LTDA;RUA NIRBERTO HAASE,75;88035-215;SANTA MONICA;Florianópolis;Santa Catarina
2008;2008/10;83.646.984/0035-59;A ANGELONI E CIA LTDA;RUA NIRBERTO HAASE,75;88035-215;SANTA MONICA;Florianópolis;Santa Catarina
2009;2009/01;83.646.984/0021-53;A ANGELONI E CIA LTDA;SETE DE SETEMBRO,100;89010-200;GARCIA;Blumenau;Santa Catarina
2008;2008/09;83.646.984/0021-53;A ANGELONI E CIA LTDA;SETE DE SETEMBRO,100;89010-200;GARCIA;Blumenau;Santa Catarina
2010;2010/04;83.646.984/0021-53;A ANGELONI E CIA LTDA;SETE DE SETEMBRO,100;89010-200;GARCIA;Blumenau;Santa Catarina
2009;2009/08;83.646.984/0021-53;A ANGELONI E CIA LTDA;SETE DE SETEMBRO,100;89010-200;GARCIA;Blumenau;Santa Catarina
2011;2011/03;83.646.984/0021-53;A ANGELONI E CIA LTDA;SETE DE SETEMBRO,100;89010-200;GARCIA;Blumenau;Santa Catarina
2008;2008/09;83.646.984/0007-03;A ANGELONI E CIA LTDA;TREZE DE MAIO,12;88790-000;CENTRO;Laguna;Santa Catarina
2008;2008/08;04.400.217/0001-40;A BALA HIDRO ILHA DESENTUPIDORA LTDA ME;R SERVIDAO DAMAS MARQUES, 07;88058-000;RIO VERMELHO;Florianópolis;Santa Catarina
2009;2009/08;83.707.836/0001-58;A BAROSSI TEC DE SOLOS E CONCRETOS LTDA;RUA JOAO CARVALHO,87;88025-010;AGRONOMICA;Florianópolis;Santa Catarina
2009;2009/09;78.862.497/0001-44;A BENTHIEN CIA LTDA;RUA CELSO RAMOS,3149;89124-000;CENTRO;Benedito Novo;Santa Catarina
2011;2011/04;78.862.497/0002-25;A BENTHIEN CIA LTDAFILIAL APIUNA;RUA QUINTINO BOCAIUVA,960;89135-000;CENTRO;Apiúna;Santa Catarina
2009;2009/08;78.259.280/0002-25;A BITTENCOURT MAT DE CONSTRUCAO LTDA;R ESTEFANO JOSE VANOLLI 1225;88308-010;SAO VICENTE;Itajaí;Santa Catarina
2008;2008/10;78.259.280/0002-25;A BITTENCOURT MAT DE CONSTRUCAO LTDA;R ESTEFANO JOSE VANOLLI 1225;88308-010;SAO VICENTE;Itajaí;Santa Catarina
2010;2010/09;78.259.280/0006-59;A BITTENCOURT MATERIAIS DE CONSTRUCAO LTDA;R 14 DE MAIO 726;88375-000;CENTRO;Navegantes;Santa Catarina
2010;2010/09;78.259.280/0003-06;A BITTENCOURT MATERIAIS DE CONSTRUCAO LTDA;R BRUSQUE 162;88303-000;CENTRO;Itajaí;Santa Catarina
2010;2010/09;78.259.280/0001-44;A BITTENCOURT MATERIAIS DE CONSTRUCAO LTDA;R REINALDO SCHMITHAUSEN 2199;88310-001;CORDEIROS;Itajaí;Santa Catarina
2008;2008/06;78.259.280/0004-97;A BITTENCOURT MATERIAIS DE CONSTRUçãO LTDA;AV SETE DE SETEMBRO 573;88301-200;CENTRO;Itajaí;Santa Catarina
2011;2011/07;82.094.897/0001-24;A BODEGUITA PIZZARIA E RESTAURANTE LTDA ME;RUA INDEPENDENCIA, N.,319;89700-000;CENTRO;Concórdia;Santa Catarina
2009;2009/05;02.986.101/0001-09;A C A MOVEIS LTDA ME;RUA INDEPENDENCIA,974;89887-000;SANTA TEREZINHA;Palmitos;Santa Catarina
2012;2012/02;75.434.803/0001-53;A C E R E S ASSOC CULT ESP V SAMBA;RUA ANTONIO NUNES VARELA;89600-000;VILA PEDRINI;Joaçaba;Santa Catarina
2010;2010/11;03.839.601/0003-42;A C ROSSO CIA LTDA ME;BR 101 KM 435 Nº 2007, LOJA 58;88960-000;VILA JANUARIA;Sombrio;Santa Catarina
2009;2009/06;00.141.954/0001-14;A CASA DO LACO LTDA ME;RUA CRISTIANO BRASCHER,1833;88504-301;SANTA HELENA;Lages;Santa Catarina
2008;2008/09;83.459.909/0001-30;A COLOMBO COM MAT DE CONSTRUCAO LTDA;AV DOS IMIGRANTES, 1160;88817-600;RIO MAINA;Criciúma;Santa Catarina
2012;2012/05;83.459.909/0001-30;A COLOMBO COM.MAT.DE CONSTRUCAO LTDA-EPP;AV DOS IMIGRANTES,1160;88817-600;RIO MAINA;Criciúma;Santa Catarina
2011;2011/12;84.941.319/0001-01;A CUTIA LOTERIAS LTDA;MARECHAL DEODORO,67;88501-000;CENTRO;Lages;Santa Catarina
2008;2008/12;84.941.319/0001-01;A CUTIA LOTERIAS LTDA;RUA MARECHAL DEODORO,67;88501-000;CENTRO;Lages;Santa Catarina
2010;2010/05;07.454.529/0001-24;A D CONFECCOES LTDA ME;RUA GERMANO FAHRENHEIT,326;89057-500;FORTALEZA;Blumenau;Santa Catarina
2008;2008/12;06.022.317/0001-05;A D MOVEIS PARA ESCRITORIO LTDA;ROD SC 438, KM 216;88708-701;SAO MARTINHO;Tubarão;Santa Catarina
2010;2010/06;09.439.484/0001-44;A D P INDUSTRIA E COMERCIO DE AGUARDENTE LTDA.;RUA KASULO, 503-D;89814-580;SEMINARIO;Chapecó;Santa Catarina
2008;2008/09;83.243.857/0001-60;A DIAS E FILHOS LTDA;RUA CORONEL ALBUQUERQUE,678;89460-000;CENTRO;Canoinhas;Santa Catarina
2008;2008/10;07.069.135/0001-52;A E A COM DE EQUIP DE INFORMATICA LTDA;RUA CEL PEDRO BENEDET,350;88801-250;CENTRO;Criciúma;Santa Catarina
2011;2011/09;72.354.897/0001-62;A E D MOVEIS E DECORACOES MODULADAS LTDA ME;RUA GETULIO VARGAS,123;88160-000;CENTRO;Biguaçu;Santa Catarina
2011;2011/09;72.354.897/0003-24;A E D MOVEIS E DECORACOES MODULADAS LTDA ME;RUA JAIME ARRUDA RAMOS,26;88102-020;KOBRASOL;São José;Santa Catarina
2009;2009/08;07.551.850/0001-27;A E M PRESTACAO DE SERVICOS HIDRAULICOS;AV. RIO BRANCO, S/N (AO LADO ANGELONI);88015-200;CENTRO;Florianópolis;Santa Catarina
2008;2008/09;05.385.766/0001-55;A ESSENCIA LTDA - ME;ENG. BOA NOVA,,25;88802-120;CENTRO;Criciúma;Santa Catarina
2009;2009/08;03.495.729/0001-74;A ESTEVAM COMERCIO E TRANSPORTE LTDA ME;RUA VIDEIRA,72;88815-130;CEARA;Criciúma;Santa Catarina
2008;2008/07;77.884.211/0001-69;A F COMERCIAL SA;AVENIDA OSMAR CUNHA 416;88015-100;CENTRO;Florianópolis;Santa Catarina
2011;2011/04;09.046.502/0001-28;A F M DALLAGNO CIA LTDA ME;AV DO ESTADO  3351;88330-077;CENTRO;Balneário Camboriú;Santa Catarina
2009;2009/03;01.209.793/0001-16;A FORTALEZA REST. E PIZZARIA LTDA ME;RUA FRANCISCO VAHLDIECK,796;89056-000;FORTALEZA;Blumenau;Santa Catarina
2011;2011/11;12.998.028/0001-49;A J DE MARCO;AV GETULIO VARGAS, 313 N;89802-000;CENTRO;Chapecó;Santa Catarina
2008;2008/11;02.613.389/0001-76;A J MAZZOCHI;RUA VIDAL RAMOS JUNIOR 53;88502-170;CENTRO;Lages;Santa Catarina
2010;2010/03;08.047.819/0001-16;A J R COMERCIO DE KITAS DE GRAVACAO EM VIDROS LTDA M;RUA DOM PEDRO II,278;89887-000;CENTRO;Palmitos;Santa Catarina
2011;2011/02;08.047.819/0001-16;A J R COMERCIO DE KITAS DE GRAVACAO EM VIDROS LTDA M;RUA DOM PEDRO II,278;89887-000;CENTRO;Palmitos;Santa Catarina
2008;2008/07;03.567.329/0001-27;A J S TUR TURISMO LTDA;ANEXO USINA FOZ DO CHAPECó;89883-000;Sem Informação;Águas de Chapecó;Santa Catarina
2012;2012/05;01.491.039/0001-11;A M MOTA LANCHES LTDA EPP;ROD BR 101;88704-700;REVOREDO;Paulo Lopes;Santa Catarina
2009;2009/01;04.856.840/0001-01;A M N ENJARDINAMENTO LTDA ME;RUA PAULO HABITZREUTER,123;88360-000;SAO PEDRO;Guabiruba;Santa Catarina
2008;2008/07;00.974.498/0001-93;A M PRESTSERV COMERCIO DE CONCRETOS LTD;RUA ALFREDO WAGNER,200;89804-430;ALVORADA;Chapecó;Santa Catarina
2011;2011/05;83.057.059/0001-43;A MARAVILHA LAMINAS E MADEIRA IND E COM LTDA;RODOVIA ADELINO MANDELLI N.º 1400;89500-000;CASTELHANO;Caçador;Santa Catarina
2009;2009/04;00.993.058/0001-83;A MENDES TERRAP CONSTR EXTR MIN LTDA;RODOVIA SC 438, KM 10;88735-000;POUSO ALTO;Gravatal;Santa Catarina
2012;2012/04;00.993.058/0001-83;A MENDES TERRAPCONSTR EXTR MINERLTDA;RODOVIA SC 438 KM 10,3178;88735-000;POUSO ALTO;Gravatal;Santa Catarina
2009;2009/02;00.993.058/0001-83;A MENDES TERRAPLANAGEM;RODOVIA SC 438, KM 10;88735-000;POUSO ALTO;Gravatal;Santa Catarina
2009;2009/12;00.993.058/0001-83;A MENDES TERRAPLANAGEM CONSTR. EXTR. DE MINERAIS LTDA;RODOVIA SC 438;88735-000;POUSO ALTO;Gravatal;Santa Catarina
2010;2010/10;00.993.058/0001-83;A MENDES TERRAPLANAGEM CONSTRUçãO E EXTRAçãO MINERAL LT;ROD. SC 438 KM 10;88735-000;POUSO ALTO;Gravatal;Santa Catarina
2009;2009/09;00.993.058/0001-83;A MENDES TERRAPLANAGEM LTDA;RODOVIA 438;88735-000;POSO ALTO;Gravatal;Santa Catarina
2010;2010/09;00.993.058/0001-83;A MENDES TERRAPLANAGEM, CONSTRUCAO E EXTRACAO MINER LTD;ROD SC 438, SN KM 10;88735-000;POUSO ALTO;Gravatal;Santa Catarina
2009;2009/02;06.916.330/0001-08;A MORADIA TECNOLOGIA ADMIN.E LOCACAO DE IMOVEIS LTDA-ME;RUA MANOEL BARRETO,45,TERREO,SALAS 01 E 02;89012-130;CENTRO;Blumenau;Santa Catarina
2009;2009/01;83.941.211/0001-56;A NOVAK ME;EST. GERAL SN;88820-000;DEMBOSKI;Içara;Santa Catarina
2009;2009/10;86.434.727/0002-83;A NUNES & CIA LTDA;RODOVIA BR 101, KM 336;88700-000;MORROTES;Tubarão;Santa Catarina
2010;2010/06;86.434.727/0002-83;A NUNES & CIA LTDA;RODOVIA BR 101, KM 337;88700-000;MORROTES;Tubarão;Santa Catarina
2010;2010/05;86.434.727/0007-98;A NUNES & CIA LTDA;RUA ALTAMIRO GUIMARAES, 1338;88702-100;OFICINAS;Tubarão;Santa Catarina
2009;2009/10;86.434.727/0001-00;A NUNES & CIA LTDA;RUA MARECHAL DEODORO, 883;88700-000;CENTRO;Tubarão;Santa Catarina
2012;2012/05;86.434.727/0001-00;A NUNES & CIA LTDA;RUA MARECHAL DEODORO, 883;88704-801;MORROTES;Tubarão;Santa Catarina
2009;2009/10;86.434.727/0004-45;A NUNES E CIA LTDA;AV PATRICIO LIMA, 406;88700-000;CENTRO;Tubarão;Santa Catarina
